name	description
AI_Deleted_My_Drive.jpg	AI deleted my drive
AI_Gives_Up.png	AI gives up
AI_Code-Smells.png	AI may be your senior...
AI_AlgorithmDefinition.png	Algorithm Definition
AI_TrainingWasted.png	Buzz - Years of academy training wasted
AI_500_Years_Of_Knowledge.jpg	ChatGPT - 500 Years Of Knowledge
AI_ChatGPT_Conversations.jpg	ChatGPT - after a long conversations
AI_ChatGPT_Copies_Code.jpg	ChatGPT - can you write code?
AI_Claude_Danger.jpg	Claude can do your job
AI_Is_Lost.png	Copilot forgets it's own name
AI_EarliestVersion.jpg	Earliest Version of AI
AI_Girlfriend.JPG	Girlfriends Then and Now
AI_DiscoveredCode.jpg	I Discovered this Code!
AI_JumpOffBridge.png	Jumping Off a Bridge
AI_Me_Writing_Code.png	Me Writing Code
AI_Hal_PodBayDoors.png	Open the Pod Bay Doors HAL
AI_Refactoring_Is_Beautiful.jpg	Refactoring Is Beautiful
AI_Code_GenerationSpec.png	Specs == Code
AI_vs-StackOverflow.JPG	StackOverflow vs ChatGPT
AI_Terminator_Is_Now.png	Terminator - 2024 was the year
AI_Find_John_Connors.jpg	Terminator - Help me find John Connors
AI_Terminator_Sarah_Waiting.jpg	Terminator - Sarah waiting
Twilight_Zone_ChatGpt.jpg   Twilight Zone - ChatGPT Episode
AI_TechDebt.JPG	Vibe Coding Tech Debt
AI_xkcd_Agents.png	xkcd - Yet Another Agent
AI_Yolo-LOTR.jpg	YOLO - Lord of the Rings
AI_Yolo-Yoda.jpg	YOLO - Yoda
